"V1"	"pattern"	"support"
"95"	95	"<{GN},{GN},{of},{DS},{cells}>"	0.0156208778239076
"96"	96	"<{of},{DS},{by},{GN}>"	0.0154959108013163
"97"	97	"<{GN},{GN},{DS},{GN}>"	0.0153570585539927
"98"	98	"<{DS},{by},{GN},{GN}>"	0.0152876324303309
"99"	99	"<{of},{DS},{of},{GN},{GN}>"	0.0152182063066691
"100"	100	"<{The},{DS},{GN}>"	0.0152043210819367
"101"	101	"<{We},{GN},{DS}>"	0.0151348949582749
"102"	102	"<{cell},{GN},{DS}>"	0.0149405018120218
"103"	103	"<{expression},{GN},{DS},{cells}>"	0.0148571904636277
"104"	104	"<{of},{GN},{expression},{DS}>"	0.0148294200141629
"105"	105	"<{GN},{of},{DS},{DS}>"	0.0147738791152335
"106"	106	"<{results},{GN},{DS}>"	0.0146350268679099
"107"	107	"<{GN},{pathway},{DS}>"	0.0145517155195157
"108"	108	"<{DS},{cells},{GN},{GN},{GN}>"	0.014371207597995
"109"	109	"<{DS},{cell},{GN},{GN}>"	0.0143295519237979
"110"	110	"<{DS},{expression},{GN}>"	0.0142740110248684
"111"	111	"<{GN},{on},{DS}>"	0.0141906996764743
"112"	112	"<{of},{DS},{cell},{GN}>"	0.0139963065302212
"113"	113	"<{GN},{was},{DS}>"	0.0139546508560241
"114"	114	"<{GN},{signaling},{DS}>"	0.0139546508560241
"115"	115	"<{of},{of},{GN},{GN},{DS}>"	0.0138157986087005
"116"	116	"<{of},{DS},{DS},{GN}>"	0.0137880281592358
"117"	117	"<{of},{GN},{by},{DS}>"	0.0137880281592358
"118"	118	"<{DS},{by},{of},{GN}>"	0.013760257709771
"119"	119	"<{GN},{of},{GN},{DS},{cells}>"	0.0137324872603063
"120"	120	"<{DS},{of},{GN},{GN},{GN}>"	0.0136908315861092
"121"	121	"<{study},{of},{GN},{DS}>"	0.0134825532151238
"122"	122	"<{GN},{activity},{DS}>"	0.0134408975409267
"123"	123	"<{DS},{GN},{GN},{of}>"	0.013413127091462
"124"	124	"<{DS},{cell},{of},{GN}>"	0.0133437009678002
"125"	125	"<{DS},{GN},{pathway}>"	0.0133020452936031
"126"	126	"<{of},{on},{GN},{DS}>"	0.0132881600688707
"127"	127	"<{of},{GN},{human},{DS},{cells}>"	0.013260389619406
"128"	128	"<{In},{of},{GN},{DS}>"	0.0132048487204765
"129"	129	"<{GN},{induced},{DS}>"	0.0131909634957442
"130"	130	"<{of},{DS},{GN},{DS}>"	0.0131215373720824
"131"	131	"<{of},{GN},{of},{GN},{DS}>"	0.0131215373720824
"132"	132	"<{DS},{GN},{GN},{GN},{GN}>"	0.0130937669226176
"133"	133	"<{The},{GN},{DS},{cells}>"	0.0130937669226176
"134"	134	"<{GN},{by},{DS},{cells}>"	0.0130382260236882
"135"	135	"<{GN},{GN},{DS},{of}>"	0.0129826851247587
"136"	136	"<{DS},{GN},{by}>"	0.0129826851247587
"137"	137	"<{cells},{GN},{DS}>"	0.0129687999000264
"138"	138	"<{GN},{GN},{expression},{DS}>"	0.0129271442258293
"139"	139	"<{GN},{of},{DS},{GN}>"	0.0129132590010969
"140"	140	"<{cell},{DS},{GN}>"	0.0128160624279704
"141"	141	"<{was},{GN},{DS}>"	0.0127327510795762
"142"	142	"<{human},{DS},{cells},{GN}>"	0.012607784056985
"143"	143	"<{of},{DS},{GN},{GN},{GN}>"	0.0125383579333232
"144"	144	"<{on},{DS},{GN}>"	0.0124689318096613
"145"	145	"<{GN},{of},{human},{DS}>"	0.0123717352365348
"146"	146	"<{DS},{DS},{cells},{GN}>"	0.0123578500118024
"147"	147	"<{GN},{be},{DS}>"	0.0123578500118024
"148"	148	"<{GN},{apoptosis},{DS},{cells}>"	0.012302309112873
"149"	149	"<{DS},{GN},{cell}>"	0.012302309112873
"150"	150	"<{is},{GN},{DS}>"	0.0121912273150141
"151"	151	"<{In},{GN},{DS},{cells}>"	0.0121912273150141
"152"	152	"<{apoptosis},{DS},{GN}>"	0.012149571640817
"153"	153	"<{DS},{DS},{GN},{GN}>"	0.0121218011913523
"154"	154	"<{GN},{GN},{DS},{r}>"	0.0120801455171552
"155"	155	"<{GN},{DS},{cells},{DS}>"	0.0120523750676905
"156"	156	"<{GN},{of},{DS},{of}>"	0.0120107193934934
"157"	157	"<{expression},{GN},{GN},{DS}>"	0.0120107193934934
"158"	158	"<{by},{GN},{DS},{cells}>"	0.0118302114719727
"159"	159	"<{DS},{via},{GN}>"	0.0117746705730432
"160"	160	"<{The},{GN},{GN},{DS}>"	0.0117330148988461
"161"	161	"<{of},{GN},{GN},{GN},{DS},{cells}>"	0.0116774739999167
"162"	162	"<{GN},{DS},{cells},{by}>"	0.0116774739999167
